Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-27T08:39:03.454Z","Included","composer-1","No","18653","0","59392","1212","79257","0.04"
"2026-01-27T06:18:48.186Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-27T06:18:37.523Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-27T06:15:58.343Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-27T05:28:45.645Z","Included","gemini-3-flash-preview","No","0","6297","22259","2012","30568","0.01"
"2026-01-27T05:23:42.916Z","Included","gemini-3-flash-preview","No","0","25395","0","1630","27025","0.02"
"2026-01-27T04:50:55.378Z","Included","gemini-3-flash-preview","No","0","27175","107079","3442","137696","0.03"
"2026-01-27T04:42:19.671Z","Included","gemini-3-flash-preview","No","0","22073","27741","1949","51763","0.02"
"2026-01-27T02:46:54.805Z","Included","gemini-3-flash-preview","No","0","87477","0","67104","154581","0.25"
"2026-01-27T02:31:25.207Z","Included","gemini-3-flash-preview","No","0","51059","80402","5028","136489","0.04"
"2026-01-27T02:24:42.659Z","Included","gemini-3-flash-preview","No","0","27871","43516","2362","73749","0.02"
"2026-01-27T02:21:56.259Z","Included","gemini-3-flash-preview","No","0","20743","0","1773","22516","0.02"
"2026-01-27T02:10:50.160Z","Included","gemini-3-flash-preview","No","0","29925","0","2327","32252","0.02"
"2026-01-27T01:53:48.552Z","Included","claude-4.5-opus-high-thinking","No","53838","608","1426728","14072","1495246","1.40"
"2026-01-26T11:51:24.384Z","Included","claude-4.5-sonnet-thinking","No","17108","59","279730","3955","300852","0.21"
"2026-01-26T11:50:23.163Z","Included","claude-4.5-sonnet-thinking","No","41606","56","211777","2918","256357","0.26"
"2026-01-26T11:46:15.109Z","Included","claude-4.5-sonnet-thinking","No","29608","92","297470","4189","331359","0.26"
"2026-01-26T11:42:29.414Z","Included","claude-4.5-sonnet-thinking","No","22409","75","171535","4568","198587","0.20"
"2026-01-26T11:39:38.580Z","Included","composer-1","No","6591","0","193248","2468","202307","0.06"
"2026-01-26T11:38:45.256Z","Included","composer-1","No","8910","0","48256","1238","58404","0.03"
"2026-01-26T11:35:29.357Z","Included","composer-1","No","4783","0","29984","1360","36127","0.02"
"2026-01-26T11:22:20.374Z","Included","gemini-3-pro-preview","No","0","41444","21803","2328","65575","0.12"
"2026-01-26T11:18:11.642Z","Included","composer-1","No","3944","0","53440","2205","59589","0.03"
"2026-01-26T11:16:30.621Z","Included","composer-1","No","6108","0","72128","1499","79735","0.03"
"2026-01-26T11:10:27.260Z","Included","composer-1","No","5827","0","42720","1407","49954","0.02"
"2026-01-26T11:06:19.078Z","Included","claude-4.5-sonnet-thinking","No","14221","43","487765","3135","505164","0.25"
"2026-01-26T11:02:17.764Z","Included","claude-4.5-sonnet-thinking","No","108407","51","479037","9090","596585","0.69"
"2026-01-26T10:55:15.085Z","Included","claude-4.5-sonnet-thinking","No","97218","35","224391","6403","328047","0.53"
"2026-01-26T10:50:05.709Z","Included","composer-1","No","892","0","46944","543","48379","0.01"
"2026-01-26T10:49:00.812Z","Included","composer-1","No","1040","0","65760","755","67555","0.02"
"2026-01-26T10:48:28.728Z","Included","composer-1","No","713","0","40800","451","41964","0.01"
"2026-01-26T10:32:54.680Z","Included","composer-1","No","10075","0","174080","2484","186639","0.06"
"2026-01-26T10:31:58.107Z","Included","composer-1","No","4612","0","29664","2050","36326","0.02"
"2026-01-26T10:28:39.106Z","Included","composer-1","No","0","0","0","0","0","0.00"
"2026-01-26T10:28:09.931Z","Included","composer-1","No","0","0","0","0","0","0.00"
"2026-01-26T10:27:31.414Z","Included","composer-1","No","0","0","0","0","0","0.00"
"2026-01-26T10:25:44.375Z","Included","composer-1","No","0","0","0","0","0","0.00"
"2026-01-26T10:25:33.097Z","Included","composer-1","No","0","0","0","0","0","0.00"
"2026-01-26T09:44:14.899Z","Included","claude-4.5-sonnet-thinking","No","39107","161","1404882","21681","1465831","0.89"
"2026-01-26T09:42:52.735Z","Included","claude-4.5-sonnet-thinking","No","5366","20","124865","820","131071","0.07"
"2026-01-26T09:39:39.097Z","Included","claude-4.5-sonnet-thinking","No","49480","22","74430","1332","125264","0.23"
"2026-01-26T09:32:10.076Z","Included","claude-4.5-sonnet-thinking","No","46528","150","682156","15146","743980","0.61"
"2026-01-26T09:29:10.823Z","Included","claude-4.5-sonnet-thinking","No","18784","56","101958","5153","125951","0.18"
"2026-01-26T08:10:56.083Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-26T08:10:45.723Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-23T08:04:30.902Z","Included","composer-1","No","50871","0","564128","5545","620544","0.21"
"2026-01-22T05:30:55.526Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-22T02:49:55.747Z","Included","composer-1","No","3143","0","55712","2599","61454","0.03"
"2026-01-22T02:42:06.056Z","Included","composer-1","No","6991","0","39936","930","47857","0.02"
"2026-01-22T02:28:25.068Z","Included","composer-1","No","15006","0","46112","2886","64004","0.04"
"2026-01-22T01:58:11.718Z","Included","claude-4.5-sonnet-thinking","No","11721","57","184659","4529","200966","0.17"
"2026-01-22T01:54:34.195Z","Included","claude-4.5-sonnet-thinking","No","12272","32","62548","2706","77558","0.11"
"2026-01-21T17:07:19.714Z","Included","gemini-3-pro-preview","No","0","73499","33752","767","108018","0.16"
"2026-01-21T17:05:28.773Z","Errored, No Charge","gemini-3-pro-preview","No","0","35146","30005","124","65275","0.08"
"2026-01-21T17:02:01.812Z","Included","gemini-3-pro-preview","No","0","338598","311003","4206","653807","0.79"
"2026-01-21T17:01:50.291Z","Errored, No Charge","gemini-3-pro-preview","No","0","0","0","0","0","0.00"
"2026-01-21T17:01:36.270Z","Errored, No Charge","gemini-3-pro-preview","No","0","0","0","0","0","0.00"
"2026-01-21T17:00:51.836Z","Errored, No Charge","gemini-3-pro-preview","No","0","0","0","0","0","0.00"
"2026-01-21T16:59:56.616Z","Included","gemini-3-pro-preview","No","0","25947","22523","450","48920","0.06"
"2026-01-21T16:59:25.967Z","Errored, No Charge","gemini-3-pro-preview","No","0","0","0","0","0","0.00"
"2026-01-21T16:59:16.851Z","Errored, No Charge","gemini-3-pro-preview","No","0","0","0","0","0","0.00"
"2026-01-21T16:58:38.611Z","Errored, No Charge","gemini-3-pro-preview","No","0","49262","41365","138","90765","0.11"
"2026-01-21T16:42:18.844Z","Included","gemini-3-pro-preview","No","0","328868","259274","694","588836","0.72"
"2026-01-21T16:41:46.154Z","Included","gemini-3-pro-preview","No","0","17350","0","1053","18403","0.05"
"2026-01-21T08:46:26.672Z","Included","claude-4.5-sonnet-thinking","No","15392","48","121507","3131","140078","0.14"
"2026-01-21T08:41:34.948Z","Included","composer-1","No","6028","0","59168","1375","66571","0.03"
"2026-01-21T08:40:43.847Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-01-21T07:47:13.344Z","Included","composer-1","No","6501","0","264096","1758","272355","0.08"
"2026-01-21T07:44:12.558Z","Included","composer-1","No","10732","0","121728","1272","133732","0.05"
"2026-01-21T07:41:29.200Z","Included","composer-1","No","3025","18194","49888","2139","73246","0.03"
"2026-01-21T07:40:33.072Z","Included","composer-1","No","22719","0","21952","809","45480","0.03"
"2026-01-21T07:40:05.929Z","Included","composer-1","No","5069","0","101184","1960","108213","0.04"
"2026-01-21T07:38:25.563Z","Included","composer-1","No","13363","0","100160","2688","116211","0.05"
"2026-01-21T05:47:33.384Z","Included","composer-1","No","16984","581395","148000","19071","765450","0.28"
"2026-01-21T05:43:35.751Z","Included","composer-1","No","8121","9279","347872","9875","375147","0.14"
"2026-01-21T05:33:28.515Z","Included","composer-1","No","15901","9375","170368","4164","199808","0.08"
"2026-01-21T05:16:18.127Z","Included","claude-4.5-sonnet-thinking","No","10943","591","184054","2094","197682","0.13"
"2026-01-21T05:10:01.703Z","Included","claude-4.5-sonnet-thinking","No","38880","615","130401","2664","172560","0.23"
"2026-01-21T03:34:10.569Z","Included","auto","No","15023","55096","138240","7691","216050","0.17"
"2026-01-21T03:32:52.264Z","Included","auto","No","5262","14468","81408","2432","103570","0.06"
"2026-01-21T03:29:56.916Z","Included","auto","No","21489","26817","113664","3949","165919","0.11"
"2026-01-21T02:44:25.202Z","Included","auto","No","10755","0","98816","1765","111336","0.05"
